task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
1145 -- 1 -- 286 -- 0 -- 715 -- 8.244 -- 0 -- 2
1151 -- 1 -- 276 -- 0 -- 670 -- 47.322 -- 0 -- 2
1153 -- 1 -- 246 -- 0 -- 670 -- 19.049 -- 0 -- 2
1154 -- 1 -- 285 -- 0 -- 714 -- 8.269 -- 0 -- 2
1155 -- 1 -- 262 -- 0 -- 670 -- 27.475 -- 0 -- 2
1156 -- 1 -- 286 -- 0 -- 715 -- 8.417 -- 0 -- 2
1174 -- 1 -- 270 -- 0 -- 670 -- 21.302 -- 0 -- 2
1176 -- 1 -- 257 -- 0 -- 670 -- 20.218 -- 0 -- 2
1183 -- 1 -- 286 -- 0 -- 715 -- 8.268 -- 0 -- 2
1185 -- 1 -- 241 -- 0 -- 670 -- 19.026 -- 0 -- 2
1189 -- 1 -- 253 -- 0 -- 670 -- 16.712 -- 0 -- 2
1193 -- 1 -- 249 -- 0 -- 670 -- 18.494 -- 0 -- 2
1203 -- 1 -- 285 -- 0 -- 715 -- 8.65 -- 0 -- 2
1205 -- 1 -- 285 -- 0 -- 715 -- 8.799 -- 0 -- 2
